num_points,num_clusters,maxIteration,epsilon,num_threads,execution_time
1000,5,10,0.001,1,0
1000,5,50,0.001,1,0
1000,5,100,0.001,1,0
1000,5,10,0.001,2,0.0009989
1000,5,50,0.001,2,0.0010179
1000,5,100,0.001,2,0.003017
1000,5,10,0.001,4,0.0019829
1000,5,50,0.001,4,0.0039995
1000,5,100,0.001,4,0.0009993
1000,5,10,0.001,8,0.0030008
1000,5,50,0.001,8,0.0019999
1000,5,100,0.001,8,0.0019998
10000,5,10,0.001,1,0.0009992
10000,5,50,0.001,1,0.0009996
10000,5,100,0.001,1,0.0040157
10000,5,10,0.001,2,0.0029839
10000,5,50,0.001,2,0.0085644
10000,5,100,0.001,2,0.0153607
10000,5,10,0.001,4,0.0029963
10000,5,50,0.001,4,0.0118322
10000,5,100,0.001,4,0.0074143
10000,5,10,0.001,8,0.0040386
10000,5,50,0.001,8,0.0138889
10000,5,100,0.001,8,0.026823
100000,5,10,0.001,1,0.007308
100000,5,50,0.001,1,0.0220451
100000,5,100,0.001,1,0.0330021
100000,5,10,0.001,2,0.0202827
100000,5,50,0.001,2,0.0675633
100000,5,100,0.001,2,0.121477
100000,5,10,0.001,4,0.0202887
100000,5,50,0.001,4,0.0724016
100000,5,100,0.001,4,0.142381
100000,5,10,0.001,8,0.0300014
100000,5,50,0.001,8,0.112845
100000,5,100,0.001,8,0.199485
