num_points,num_clusters,maxIteration,epsilon,num_threads,execution_time
1000,5,10,0.001,1,0
1000,5,50,0.001,1,0
1000,5,100,0.001,1,0
1000,5,10,0.001,2,0.0009503
1000,5,50,0.001,2,0.0020475
1000,5,100,0.001,2,0.0009554
1000,5,10,0.001,4,0.0009835
1000,5,50,0.001,4,0.0020194
1000,5,100,0.001,4,0.0008961
1000,5,10,0.001,8,0.0020119
1000,5,50,0.001,8,0.0030056
1000,5,100,0.001,8,0.003951
10000,5,10,0.001,1,0.0010273
10000,5,50,0.001,1,0.0009982
10000,5,100,0.001,1,0.0019982
10000,5,10,0.001,2,0.001999
10000,5,50,0.001,2,0.0040046
10000,5,100,0.001,2,0.0040026
10000,5,10,0.001,4,0.002017
10000,5,50,0.001,4,0.0089987
10000,5,100,0.001,4,0.0079032
10000,5,10,0.001,8,0.0039963
10000,5,50,0.001,8,0.0123909
10000,5,100,0.001,8,0.0240012
100000,5,10,0.001,1,0.0069786
100000,5,50,0.001,1,0.0210891
100000,5,100,0.001,1,0.04714
100000,5,10,0.001,2,0.0180442
100000,5,50,0.001,2,0.0608597
100000,5,100,0.001,2,0.106069
100000,5,10,0.001,4,0.0190098
100000,5,50,0.001,4,0.0831836
100000,5,100,0.001,4,0.144146
100000,5,10,0.001,8,0.0280302
100000,5,50,0.001,8,0.0685899
100000,5,100,0.001,8,0.131375
