x,y,cluster_id
-80.6087,92.4233,3
-90.2003,-14.9803,4
46.0254,57.2404,1
95.1203,12.967,1
-51.7098,41.0636,3
-7.8849,-3.7672,4
39.1434,12.2552,1
37.1709,-23.2492,2
45.4874,60.2987,1
-21.1287,26.2395,4
93.9156,34.3523,1
3.67553,-23.4716,4
-49.7069,-9.2739,4
-31.2284,77.622,3
4.79465,-26.541,2
46.7205,-13.3434,2
-86.4697,95.1999,3
28.5017,90.8911,1
-86.5219,66.12,3
40.3438,-95.9775,2
81.2446,-53.4884,2
-37.9425,37.5079,3
-90.6674,-79.7576,0
5.50894,19.9366,4
16.8606,3.25767,1
-66.2383,5.80654,4
6.16217,24.4599,1
-70.6507,-20.1092,4
-19.2852,90.8902,3
-75.0822,-93.4007,0
98.0914,-2.37293,2
66.9931,-32.1928,2
84.4559,3.61316,1
-52.2728,91.8504,3
3.53733,-22.1739,4
-8.68834,31.3594,4
70.2043,-42.313,2
-29.3388,27.6825,4
-76.1756,-85.7615,0
-62.8401,-16.6044,4
37.3868,68.3443,1
79.5839,97.8315,1
-31.6743,87.0432,3
14.4473,45.5163,1
61.8479,53.6279,1
-88.067,36.5852,3
-65.4288,37.3741,3
41.6269,-72.3717,2
-61.6769,18.4926,4
-34.4457,-73.43,0
-58.6612,-53.7289,0
44.4058,-20.9279,2
3.46692,-21.887,4
-35.7113,-3.83625,4
24.2845,28.8792,1
1.64756,50.486,1
-33.5303,23.1111,4
-24.7762,53.4549,3
-6.40165,-11.0036,4
28.9825,-76.7988,2
59.569,19.9732,1
-49.2077,-71.9361,0
22.1322,2.28882,1
16.4862,13.7653,1
40.1731,75.3693,1
-66.3326,-2.16349,4
-42.697,-7.13188,4
34.7352,-93.6582,2
-87.3388,-29.5866,0
57.7937,23.0067,1
-12.7783,18.9792,4
90.6819,-75.6323,2
-82.2004,31.3129,3
69.4357,21.8535,1
-46.731,39.8101,3
56.5729,-21.8341,2
33.7803,-47.3292,2
-6.80516,35.0261,4
-81.3037,32.6287,3
-0.346035,75.2663,3
6.84601,-35.3619,2
-62.868,41.3427,3
21.2915,-47.031,2
-91.0101,21.4767,4
12.0428,31.8455,1
-21.4012,91.1407,3
-19.5053,47.4135,3
-35.2785,-45.4961,0
53.5525,-40.3779,2
-60.5597,-14.0403,4
-56.4435,71.6039,3
77.9155,-10.6347,2
70.0723,35.3176,1
-17.7543,-43.1919,0
77.5331,-19.6516,2
78.866,27.6694,1
17.3473,43.7649,1
96.3086,-87.5761,2
95.8767,19.2561,1
-8.26948,74.4051,3
-83.3187,-24.2763,4
35.2707,35.9514,1
92.5105,78.9088,1
-91.2949,-46.1337,0
89.0646,45.6775,1
-63.4853,-52.2043,0
-60.6266,70.6385,3
-64.9876,-84.0078,0
96.6339,-32.2022,2
54.7488,-12.6555,2
-52.3366,90.565,3
-47.3162,-72.4405,0
38.6491,90.569,1
27.0385,-20.75,2
-33.4269,74.4606,3
-93.1937,54.4731,3
89.0296,-22.8398,2
84.2831,88.5581,1
69.896,72.6045,1
84.0594,-46.8727,2
-36.5056,-69.1518,0
-37.4155,0.31637,4
64.0051,-3.65861,2
16.7923,49.4154,1
50.1383,-27.6514,2
3.55619,-0.917208,4
62.7799,-27.8861,2
-62.7526,-10.0923,4
-66.6149,28.472,4
14.307,-28.0351,2
94.5047,-57.9652,2
48.5078,79.3784,1
-50.9995,-34.1357,0
-99.4929,2.39685,4
-77.9112,-73.8924,0
-42.6901,44.9639,3
-72.8736,66.499,3
90.4854,8.81307,1
83.7681,-64.308,2
-13.9649,33.2841,4
-75.7225,48.1492,3
-64.916,21.9975,4
21.5556,45.9282,1
60.6535,-38.3761,2
-39.5304,64.6398,3
66.2926,-44.75,2
-18.3312,-60.0686,0
21.8428,-96.9163,2
-31.3763,-96.6779,0
72.6255,-56.0192,2
68.5792,51.3501,1
-7.0469,64.402,3
-36.2047,-63.6105,0
-98.5693,21.6615,4
75.2633,80.9284,1
70.023,50.262,1
-56.9941,-4.59124,4
-49.3816,-80.1775,0
-64.5512,39.0957,3
-85.8615,1.02351,4
6.42298,-38.4662,2
65.4475,-40.0253,2
43.9155,48.4079,1
45.2538,-59.8929,2
32.948,71.0927,1
41.0793,-99.2659,2
-74.2182,76.4304,3
14.5623,19.3339,1
-78.3732,-82.6467,0
-34.9205,-6.11136,4
74.3721,11.9322,1
75.2231,-48.8575,2
37.6997,-17.2857,2
46.1799,-49.7862,2
54.7751,-36.2107,2
4.9161,-92.4161,0
-47.378,-56.0887,0
-49.9443,68.2094,3
-50.2312,-90.4372,0
18.6564,-28.1624,2
-21.3373,7.94432,4
-88.936,-76.453,0
79.5191,-0.439799,1
26.6682,-33.5119,2
40.9092,-9.89571,2
45.5387,-71.6378,2
-1.99597,-22.6947,4
-34.0894,76.5179,3
-99.4655,55.3708,3
-58.2935,-56.5027,0
-16.274,92.367,3
14.3117,-80.6295,2
-58.4691,81.2481,3
-81.4748,12.2311,4
60.6807,28.9533,1
69.1376,-34.476,2
-51.1766,-24.1478,4
-59.0454,46.5416,3
-47.0516,-59.7223,0
-68.2969,-4.14671,4
-23.8202,88.6937,3
22.2342,41.6017,1
56.6188,-5.63437,2
54.2229,81.0909,1
75.6212,-90.988,2
81.0162,-51.9865,2
22.7251,-13.3377,2
74.4507,35.1365,1
-63.0894,-27.9375,4
-38.9647,-16.1276,4
-51.2955,2.5236,4
-21.668,34.4283,4
-56.0959,48.0606,3
27.7442,-45.4365,2
-39.8619,52.8785,3
-7.74953,-8.34376,4
57.559,33.3236,1
98.1623,-68.114,2
22.9332,-49.4063,2
-68.7237,14.2109,4
19.1054,63.6777,1
-0.0704169,69.0077,3
75.5264,11.0632,1
-90.3262,-29.6679,0
62.1946,3.7258,1
39.7897,69.3534,1
65.8423,23.389,1
16.8263,-13.1614,2
76.1026,-28.0571,2
18.1252,-9.93788,2
70.6857,-35.4968,2
-50.2815,18.0154,4
30.5741,-11.7963,2
-88.0639,27.7533,4
-69.0432,-61.2475,0
94.2509,-61.6322,2
99.7184,-73.4607,2
42.4716,-84.6544,2
-51.9714,-19.6074,4
-84.2641,18.3619,4
-74.4888,74.4793,3
-21.2282,74.2356,3
64.6778,4.93588,1
-45.7955,18.0156,4
46.4986,-40.25,2
-17.5998,19.1008,4
-59.914,48.4912,3
37.1822,-80.6301,2
52.1773,50.2857,1
-16.8792,-68.627,0
-65.4785,29.1909,4
-16.4194,25.5206,4
-57.7125,92.4847,3
-5.77946,47.047,3
-42.4733,-52.5843,0
38.5146,-55.8235,2
-41.3456,95.5404,3
65.6778,-66.836,2
-99.83,-97.7762,0
60.6054,-92.4072,2
-82.5501,-35.7174,0
-78.6805,-69.3939,0
61.4632,44.0363,1
85.5776,-6.51135,2
-0.376827,-81.1301,0
43.9629,13.8585,1
-7.13136,-72.2385,0
-68.4024,74.4327,3
95.4014,-70.5815,2
30.0286,-16.743,2
83.4238,3.22528,1
-80.2483,-78.9406,0
25.3022,-91.5973,2
-26.0246,-50.9807,0
-24.9513,91.823,3
-56.6797,38.8284,3
-28.7227,-37.3908,0
-57.8527,65.5738,3
-4.89598,-22.4793,4
-15.5465,-58.7485,0
-74.603,-98.3935,0
-88.7218,60.4539,3
42.2526,31.1859,1
-40.4152,-2.32028,4
32.0675,15.8368,1
-60.3385,52.1438,3
2.55439,-91.6431,0
-77.7913,-46.8556,0
-6.98479,-41.6948,0
-11.923,0.196421,4
5.12242,96.7139,3
-45.9046,59.3426,3
-33.2407,96.7458,3
-24.1578,-35.785,4
88.3494,26.8069,1
-83.8877,24.3794,4
-61.3233,-18.0561,4
67.3677,97.5008,1
-2.42307,-93.4435,0
81.1181,31.3166,1
19.4368,-90.3261,2
-70.1482,-33.5578,0
94.5168,-13.9005,2
1.164,-59.0988,2
-38.2882,-50.4689,0
5.92303,46.6987,1
